movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn
Tangerine,Sean Baker,2015,7,Tina Hassannia,Freelance film critic,Canada,/name/nm0048918/,"New York City, New York, USA"
The Royal Tenenbaums,Wes Anderson,2001,8,Tina Hassannia,Freelance film critic,Canada,/name/nm0027572/,"Houston, Texas, USA"
Spring Breakers,Harmony Korine,2012,9,Tina Hassannia,Freelance film critic,Canada,/name/nm0005101/,"Bolinas, California, USA"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Tina Hassannia,Freelance film critic,Canada,/name/nm0917405/,"Bangkok, Thailand"
Notre musique,Jean-Luc Godard,2004,1,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0000419/,"Paris, France"
Triple Agent,Éric Rohmer,2004,2,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0006445/,"Tulle, Corrèze, France"
The Assassin,Hou Hsiao-hsien,2015,3,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0396284/,"Meixian, Guangdong, China"
Gran Torino,Clint Eastwood,2008,4,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0000142/,"San Francisco, California, USA"
Horse Money,Pedro Costa,2014,5,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0182276/,"Lisbon, Portugal"
Fantastic Mr Fox,Wes Anderson,2012,6,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0027572/,"Houston, Texas, USA"
Holy Motors,Leos Carax,2012,7,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Death Proof – Grindhouse,Quentin Tarantino,2007,8,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0000233/,"Knoxville, Tennessee, USA"
Déjà Vu,Tony Scott,2006,9,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0001716/,"North Shields, Northumberland, England, UK"
Seventh Code,Kiyoshi Kurosawa,2013,10,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0475905/,"Kobe, Japan"
Waiting for Happiness,Abderrahmane Sissako,2002,1,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0803066/,"Kiffa, Mauritania"
The White Ribbon,Michael Haneke,2009,2,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0359734/,"Munich, Bavaria, Germany"
Dreams of a Life,Carol Morley,2011,3,Katarina Hedrén,Freelance film critic,South Africa,/name/nm1345246/,"Stockport, Greater Manchester, England, UK"
Tey,Alain Gomis,2012,4,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0327120/,"Paris, France"
The Gleaners and I,Agnès Varda,2000,5,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0889513/,"Ixelles, Belgium"
Lumumba,Raoul Peck,2000,6,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0669704/,"Port-au-Prince, Haiti"
Hunger,Steve McQueen,2008,7,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0000537/,"Beech Grove, Indiana, USA"
Fruitvale Station,Ryan Coogler,2013,8,Katarina Hedrén,Freelance film critic,South Africa,/name/nm3363032/,"Oakland, California, USA"
"Eat, Sleep, Die",Gabriela Pichler,2012,9,Katarina Hedrén,Freelance film critic,South Africa,/name/nm3307527/,
Middle of Nowhere,Ava DuVernay,2012,10,Katarina Hedrén,Freelance film critic,South Africa,/name/nm1148550/,"Long Beach, California, USA"
A Serious Man,Joel and Ethan Coen,2009,1,Jordan Hoffman,Freelance film critic,US,,
Inside Llewyn Davis,Joel and Ethan Coen,2013,2,Jordan Hoffman,Freelance film critic,US,,
Star Trek,J. J. Abrams,2009,3,Jordan Hoffman,Freelance film critic,US,/name/nm0009190/,"New York City, New York, USA"
Waking Life,Richard Linklater,2001,4,Jordan Hoffman,Freelance film critic,US,/name/nm0000500/,"Houston, Texas, USA"
Ida,PaweÅ Pawlikowski,2013,5,Jordan Hoffman,Freelance film critic,US,/name/nm0667734/,"Warsaw, Mazowieckie, Poland"
Enter the Void,Gaspar Noé,2009,6,Jordan Hoffman,Freelance film critic,US,/name/nm0637615/,"Buenos Aires, Argentina"
There Will Be Blood,Paul Thomas Anderson,2007,7,Jordan Hoffman,Freelance film critic,US,/name/nm0000759/,"Studio City, California, USA"
Of Gods and Men,Xavier Beauvois,2010,8,Jordan Hoffman,Freelance film critic,US,/name/nm0064741/,"Auchel, Pas-de-Calais, France"
Into Great Silence,Philip Gröning,2005,9,Jordan Hoffman,Freelance film critic,US,/name/nm0344973/,"Düsseldorf, West Germany"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Jordan Hoffman,Freelance film critic,US,/name/nm0153078/,"Brooklyn, New York City, New York, USA"
The Social Network,David Fincher,2010,1,Michael Hogan,Vanity Fair,US,/name/nm0000399/,"Denver, Colorado, USA"
Boyhood,Richard Linklater,2014,2,Michael Hogan,Vanity Fair,US,/name/nm0000500/,"Houston, Texas, USA"
The Descendants,Alexander Payne,2011,3,Michael Hogan,Vanity Fair,US,/name/nm0668247/,"Omaha, Nebraska, USA"
Beasts of the Southern Wild,Benh Zeitlin,2012,4,Michael Hogan,Vanity Fair,US,/name/nm1022455/,"Manhattan, New York, USA"
No Country For Old Men,Joel and Ethan Coen,2007,5,Michael Hogan,Vanity Fair,US,,
Idiocracy,Mike Judge,2006,6,Michael Hogan,Vanity Fair,US,/name/nm0431918/,"Guayaquil, Ecuador"
Bridesmaids,Paul Feig,2011,7,Michael Hogan,Vanity Fair,US,/name/nm0082450/,"Mount Clemens, Michigan, USA"
Spring Breakers,Harmony Korine,2012,8,Michael Hogan,Vanity Fair,US,/name/nm0005101/,"Bolinas, California, USA"
American Psycho,Mary Harron,2000,9,Michael Hogan,Vanity Fair,US,/name/nm0366004/,"Bracebridge, Ontario, Canada"
The Dark Knight,Christopher Nolan,2008,10,Michael Hogan,Vanity Fair,US,/name/nm0634240/,"London, England, UK"
Children of Men,Alfonso Cuarón,2006,1,Ann Hornaday,The Washington Post,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
There Will Be Blood,Paul Thomas Anderson,2007,2,Ann Hornaday,The Washington Post,US,/name/nm0000759/,"Studio City, California, USA"
The Hurt Locker,Kathryn Bigelow,2008,3,Ann Hornaday,The Washington Post,US,/name/nm0000941/,"San Carlos, California, USA"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Ann Hornaday,The Washington Post,US,/name/nm0612816/,"Iasi, Romania"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,5,Ann Hornaday,The Washington Post,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Boyhood,Richard Linklater,2014,6,Ann Hornaday,The Washington Post,US,/name/nm0000500/,"Houston, Texas, USA"
Lost in Translation,Sofia Coppola,2003,7,Ann Hornaday,The Washington Post,US,/name/nm0001068/,"New York City, New York, USA"
Michael Clayton,Tony Gilroy,2007,8,Ann Hornaday,The Washington Post,US,/name/nm0006904/,"Manhattan, New York City, New York, USA"
You Can Count on Me Me,Kenneth Lonergan,2000,9,Ann Hornaday,The Washington Post,US,/name/nm0518836/,"New York City, New York, USA"
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,10,Ann Hornaday,The Washington Post,US,,
Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,Gerhard Benedikt Friedl,2004,1,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0295068/,"Bad Aussee, Styria, Austria"
The Master,Paul Thomas Anderson,2012,2,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0000759/,"Studio City, California, USA"
Longing,Valeska Grisebach,2006,3,Alexander Horwath,Austrian Film Museum,Austria,/name/nm1007136/,"Bremen, West Germany [now Germany]"
I’m Not There,Todd Haynes,2007,4,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0001331/,"Los Angeles, California, USA"
The External World,David O'Reilly,2010,5,Alexander Horwath,Austrian Film Museum,Austria,/name/nm2988528/,
Secret Sunshine,Lee Chang-dong,2007,6,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0496969/,"Daegu, South Korea"
Toni Erdmann,Maren Ade,2016,7,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany"
Platform,Jia Zhangke,2000,8,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0422605/,"Fenyang, Shanxi, China"
The Holy Girl,Lucrecia Martel,2004,9,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0551506/,"Salta, Argentina"
Mosaik mécanique,Norbert Pfaffenbichler,2008,10,Alexander Horwath,Austrian Film Museum,Austria,/name/nm1114961/,
Boyhood,Richard Linklater,2014,1,Peter Howell,The Toronto Star,Canada,/name/nm0000500/,"Houston, Texas, USA"
Holy Motors,Leos Carax,2012,2,Peter Howell,The Toronto Star,Canada,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
The Tree of Life,Terrence Malick,2011,3,Peter Howell,The Toronto Star,Canada,/name/nm0000517/,"Ottawa, Illinois, USA"
In the Mood for Love,Wong Kar-wai,2000,4,Peter Howell,The Toronto Star,Canada,/name/nm0939182/,"Shanghai, China"
Inside Llewyn Davis,Joel and Ethan Coen,2013,5,Peter Howell,The Toronto Star,Canada,,
Certified Copy,Abbas Kiarostami,2010,6,Peter Howell,The Toronto Star,Canada,/name/nm0452102/,"Tehran, Iran"
Memento,Christopher Nolan,2000,7,Peter Howell,The Toronto Star,Canada,/name/nm0634240/,"London, England, UK"
Y Tu Mamá También,Alfonso Cuarón,2001,8,Peter Howell,The Toronto Star,Canada,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Mulholland Drive,David Lynch,2001,9,Peter Howell,The Toronto Star,Canada,/name/nm0000186/,"Missoula, Montana, USA"
A History of Violence,David Cronenberg,2005,10,Peter Howell,The Toronto Star,Canada,/name/nm0000343/,"Toronto, Ontario, Canada"
Good Night and Good Luck,George Clooney,2005,1,Annette Insdorf,Columbia University,US,/name/nm0000123/,"Lexington, Kentucky, USA"
Hugo,Martin Scorsese,2011,2,Annette Insdorf,Columbia University,US,/name/nm0000217/,"Queens, New York City, New York, USA"
Ida,PaweÅ Pawlikowski,2013,3,Annette Insdorf,Columbia University,US,/name/nm0667734/,"Warsaw, Mazowieckie, Poland"
A Separation,Asghar Farhadi,2011,4,Annette Insdorf,Columbia University,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Amour,Michael Haneke,2012,5,Annette Insdorf,Columbia University,US,/name/nm0359734/,"Munich, Bavaria, Germany"
The Act of Killing,Joshua Oppenheimer,2012,6,Annette Insdorf,Columbia University,US,/name/nm1484791/,"Texas, USA"
Quills,Philip Kaufman,2000,7,Annette Insdorf,Columbia University,US,/name/nm0442241/,"Chicago, Illinois, USA"
The Sapphires,Wayne Blair,2012,8,Annette Insdorf,Columbia University,US,/name/nm0992370/,"Taree, New South Wales, Australia"
Where Do We Go Now?,Nadine Labaki,2011,9,Annette Insdorf,Columbia University,US,/name/nm1701024/,"Beirut, Lebanon"
Ajami,Scandar Copti and Yaron Shani,2009,10,Annette Insdorf,Columbia University,US,,
The Dark Knight,Christopher Nolan,2008,1,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0634240/,"London, England, UK"
Inception,Christopher Nolan,2010,2,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0634240/,"London, England, UK"
Hero,Zhang Yimou,2002,3,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0955443/,"Xi'an, Shaanxi, China"
Inglourious Basterds,Quentin Tarantino,2009,4,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0000233/,"Knoxville, Tennessee, USA"
The Wolf of Wall Street,Martin Scorsese,2013,5,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0000217/,"Queens, New York City, New York, USA"
Chakde! India,Shimit Amin,2007,6,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0024912/,
In the Mood for Love,Wong Kar-wai,2000,7,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0939182/,"Shanghai, China"
No Country For Old Men,Joel and Ethan Coen,2007,8,Aysha Iqbal,Indian Institute of Technology,India,,
Maqbool,Vishal Bhardwaj,2003,9,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0080235/,
The Lives of Others,Florian Henckel von Donnersmarck,2006,10,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany"
The Pianist,Roman Polanski,2002,1,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000591/,"Paris, France"
Only Lovers Left Alive,Jim Jarmusch,2013,2,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000464/,"Akron, Ohio, USA"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,3,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0917405/,"Bangkok, Thailand"
Leviathan,Andrey Zvyagintsev,2014,4,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Amélie,Jean-Pierre Jeunet,2001,5,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000466/,"Roanne, Loire, Rhône-Alpes, France"
Avatar,James Cameron,2009,6,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000116/,"Kapuskasing, Ontario, Canada"
The Tree of Life,Terrence Malick,2011,7,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000517/,"Ottawa, Illinois, USA"
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,8,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden"
Boyhood,Richard Linklater,2014,9,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000500/,"Houston, Texas, USA"
Coming Home,Zhang Yimou,2014,10,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0955443/,"Xi'an, Shaanxi, China"
The Act of Killing,Joshua Oppenheimer,2012,1,Larushka Ivan-Zadeh,Metro,UK,/name/nm1484791/,"Texas, USA"
Caché,Michael Haneke,2005,2,Larushka Ivan-Zadeh,Metro,UK,/name/nm0359734/,"Munich, Bavaria, Germany"
"Synecdoche, New York",Charlie Kaufman,2008,3,Larushka Ivan-Zadeh,Metro,UK,/name/nm0442109/,"New York City, New York, USA"
Spirited Away,Hayao Miyazaki,2001,4,Larushka Ivan-Zadeh,Metro,UK,/name/nm0594503/,"Tokyo, Japan"
WALL-E,Andrew Stanton,2008,5,Larushka Ivan-Zadeh,Metro,UK,/name/nm0004056/,"Boston, Massachusetts, USA"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,6,Larushka Ivan-Zadeh,Metro,UK,/name/nm0917405/,"Bangkok, Thailand"
Lost in Translation,Sofia Coppola,2003,7,Larushka Ivan-Zadeh,Metro,UK,/name/nm0001068/,"New York City, New York, USA"
Talk to Her,Pedro Almodóvar,2002,8,Larushka Ivan-Zadeh,Metro,UK,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
The Wrestler,Darren Aronofsky,2008,9,Larushka Ivan-Zadeh,Metro,UK,/name/nm0004716/,"Brooklyn, New York City, New York, USA"
Boyhood,Richard Linklater,2014,10,Larushka Ivan-Zadeh,Metro,UK,/name/nm0000500/,"Houston, Texas, USA"
In the Mood for Love,Wong Kar-wai,2000,1,Nick James,Sight & Sound,UK,/name/nm0939182/,"Shanghai, China"
Caché,Michael Haneke,2005,2,Nick James,Sight & Sound,UK,/name/nm0359734/,"Munich, Bavaria, Germany"
Yi Yi: A One and a Two,Edward Yang,2000,3,Nick James,Sight & Sound,UK,/name/nm0945981/,"Shanghai, China"
Zero Dark Thirty,Kathryn Bigelow,2012,4,Nick James,Sight & Sound,UK,/name/nm0000941/,"San Carlos, California, USA"
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,5,Nick James,Sight & Sound,UK,/name/nm0149196/,"Istanbul, Turkey"
White Material,Claire Denis,2009,6,Nick James,Sight & Sound,UK,/name/nm0219136/,"Paris, France"
There Will Be Blood,Paul Thomas Anderson,2007,7,Nick James,Sight & Sound,UK,/name/nm0000759/,"Studio City, California, USA"
The Look of Silence,Joshua Oppenheimer,2014,8,Nick James,Sight & Sound,UK,/name/nm1484791/,"Texas, USA"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,9,Nick James,Sight & Sound,UK,,
The Great Beauty,Paolo Sorrentino,2013,10,Nick James,Sight & Sound,UK,/name/nm0815204/,"Naples, Campania, Italy"
The Tree of Life,Terrence Malick,2011,1,David Jenkins,Little White Lies,UK,/name/nm0000517/,"Ottawa, Illinois, USA"
Eden,Mia Hansen-Løve,2014,2,David Jenkins,Little White Lies,UK,/name/nm0361135/,"Paris, France"
Punch-Drunk Love,Paul Thomas Anderson,2002,3,David Jenkins,Little White Lies,UK,/name/nm0000759/,"Studio City, California, USA"
Ghost World,Terry Zwigoff,2001,4,David Jenkins,Little White Lies,UK,/name/nm0959062/,"Appleton, Wisconsin, USA"
Tabu,Miguel Gomes,2012,5,David Jenkins,Little White Lies,UK,/name/nm0326937/,"Lisbon, Portugal"
Wendy and Lucy,Kelly Reichardt,2008,6,David Jenkins,Little White Lies,UK,/name/nm0716980/,
The Headless Woman,Lucrecia Martel,2008,7,David Jenkins,Little White Lies,UK,/name/nm0551506/,"Salta, Argentina"
Everyone Else,Maren Ade,2009,8,David Jenkins,Little White Lies,UK,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany"
Millennium Mambo,Hou Hsiao-hsien,2001,9,David Jenkins,Little White Lies,UK,/name/nm0396284/,"Meixian, Guangdong, China"
In Vanda’s Room,Pedro Costa,2000,10,David Jenkins,Little White Lies,UK,/name/nm0182276/,"Lisbon, Portugal"
The Master,Paul Thomas Anderson,2012,1,Kent Jones,Film Comment,US,/name/nm0000759/,"Studio City, California, USA"
The Tree of Life,Terrence Malick,2011,2,Kent Jones,Film Comment,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Zodiac,David Fincher,2007,3,Kent Jones,Film Comment,US,/name/nm0000399/,"Denver, Colorado, USA"
Toni Erdmann,Maren Ade,2016,4,Kent Jones,Film Comment,US,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany"
There Will Be Blood,Paul Thomas Anderson,2007,5,Kent Jones,Film Comment,US,/name/nm0000759/,"Studio City, California, USA"
My Golden Days,Arnaud Desplechin,2015,6,Kent Jones,Film Comment,US,/name/nm0221611/,"Roubaix, Nord, France"
Carlos,Olivier Assayas,2010,7,Kent Jones,Film Comment,US,/name/nm0000801/,"Paris, France"
A Serious Man,Joel and Ethan Coen,2009,8,Kent Jones,Film Comment,US,,
Moonrise Kingdom,Wes Anderson,2012,9,Kent Jones,Film Comment,US,/name/nm0027572/,"Houston, Texas, USA"
The Son,Jean-Pierre and Luc Dardenne,2002,10,Kent Jones,Film Comment,US,/name/nm0201094/,"Engis, Wallonia, Belgium"
The Headless Woman,Lucrecia Martel,2008,1,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0551506/,"Salta, Argentina"
Spirited Away,Hayao Miyazaki,2001,2,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0594503/,"Tokyo, Japan"
Mulholland Drive,David Lynch,2001,3,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0000186/,"Missoula, Montana, USA"
Sumas y Restas,Víctor Gaviria,2004,4,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0310597/,"Medellin, Colombia"
Inside Out,Pete Docter,2015,5,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0230032/,"Bloomington, Minnesota, USA"
The Gleaners and I,Agnès Varda,2000,6,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0889513/,"Ixelles, Belgium"
The Return,Andrey Zvyagintsev,2003,7,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Regular Lovers,Philippe Garrel,2005,8,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0308042/,"Paris, France"
Under the Skin,Jonathan Glazer,2013,9,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0322242/,"London, England, UK"
The Days When I Do Not Exist,Jean-Charles Fitoussi,2002,10,Manuel Kalmanovitz,Revista Semana,Colombia,/name/nm0280083/,"Tours, France"
The Tree of Life,Terrence Malick,2011,1,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0000517/,"Ottawa, Illinois, USA"
Holy Motors,Leos Carax,2012,2,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Tabu,Miguel Gomes,2012,3,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0326937/,"Lisbon, Portugal"
A History of Violence,David Cronenberg,2005,4,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0000343/,"Toronto, Ontario, Canada"
Tropical Malady,Apichatpong Weerasethakul,2004,5,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0917405/,"Bangkok, Thailand"
The Death of Mr Lazarescu,Cristi Puiu,2005,6,Dominik Kamalzadeh,Der Standard,Austria,/name/nm1090998/,"Bucharest, Romania"
Phoenix,Christian Petzold,2014,7,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0678857/,"Hilden, North Rhine-Westphalia, Germany"
Platform,Jia Zhangke,2000,8,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0422605/,"Fenyang, Shanxi, China"
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,Jonas Mekas,2000,9,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0577263/,"Semeniskiai, Lithuania"
Secret Sunshine,Lee Chang-dong,2007,10,Dominik Kamalzadeh,Der Standard,Austria,/name/nm0496969/,"Daegu, South Korea"
Lost in Translation,Sofia Coppola,2003,1,Dave Karger,Freelance,US,/name/nm0001068/,"New York City, New York, USA"
Silver Linings Playbook,David O. Russell,2012,2,Dave Karger,Freelance,US,/name/nm0751102/,"Manhattan, New York City, New York, USA"
Brooklyn,John Crowley,2015,3,Dave Karger,Freelance,US,/name/nm1259871/,"Cork, Ireland"
Michael Clayton,Tony Gilroy,2007,4,Dave Karger,Freelance,US,/name/nm0006904/,"Manhattan, New York City, New York, USA"
