movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
The Lady and the Duke,Éric Rohmer,2001,8,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0006445/,"Tulle, Corrèze, France","[45.2678347, 1.7706797]"
Yi Yi: A One and a Two,Edward Yang,2000,9,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
Silent Souls,Aleksey Fedorchenko,2010,10,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm1922735/,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, Russia",
"Synecdoche, New York",Charlie Kaufman,2008,1,Angie Han,Slashfilm,US,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Angie Han,Slashfilm,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Boyhood,Richard Linklater,2014,3,Angie Han,Slashfilm,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Mad Max: Fury Road,George Miller,2015,4,Angie Han,Slashfilm,US,/name/nm0004306/,"Chinchilla, Queensland, Australia","[-26.7416613, 150.6225161]"
Me and You and Everyone We Know,Miranda July,2005,5,Angie Han,Slashfilm,US,/name/nm0432380/,"Barre, Vermont, USA","[44.197467, -72.502213]"
Gone Girl,David Fincher,2014,6,Angie Han,Slashfilm,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,7,Angie Han,Slashfilm,US,,,"[46.3144754, 11.0480288]"
Only Lovers Left Alive,Jim Jarmusch,2013,8,Angie Han,Slashfilm,US,/name/nm0000464/,"Akron, Ohio, USA","[41.083064, -81.518485]"
Selma,Ava DuVernay,2014,9,Angie Han,Slashfilm,US,/name/nm1148550/,"Long Beach, California, USA","[33.7690164, -118.191604]"
Pain & Gain,Michael Bay,2013,10,Angie Han,Slashfilm,US,/name/nm0000881/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
Inside Out,Pete Docter,2015,1,Aisha Harris,Slate,US,/name/nm0230032/,"Bloomington, Minnesota, USA","[44.8322405, -93.3204872]"
When the Levees Broke: A Requiem in Four Acts,Spike Lee,2006,2,Aisha Harris,Slate,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
Stories We Tell,Sarah Polley,2012,3,Aisha Harris,Slate,US,/name/nm0001631/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
Her,Spike Jonze,2013,4,Aisha Harris,Slate,US,/name/nm0005069/,"Rockville, Maryland, USA","[39.0817985, -77.1516844]"
Children of Men,Alfonso Cuarón,2006,5,Aisha Harris,Slate,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Before Midnight,Richard Linklater,2013,6,Aisha Harris,Slate,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Look of Silence,Joshua Oppenheimer,2014,7,Aisha Harris,Slate,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
Fruitvale Station,Ryan Coogler,2013,8,Aisha Harris,Slate,US,/name/nm3363032/,"Oakland, California, USA","[37.8044557, -122.2713563]"
Love & Basketball,Gina Prince-Bythewood,2000,9,Aisha Harris,Slate,US,/name/nm0697656/,USA,"[39.7837304, -100.445882]"
Brick,Rian Johnson,2005,10,Aisha Harris,Slate,US,/name/nm0426059/,"Silver Spring, Maryland, USA","[38.9997621, -77.02403709829767]"
Stray Dogs,Tsai Ming-liang,2013,1,Tina Hassannia,Freelance film critic,Canada,/name/nm0158857/,"Kuching, Sarawak, Malaysia","[1.5574127, 110.3439862]"
A Separation,Asghar Farhadi,2011,2,Tina Hassannia,Freelance film critic,Canada,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Margaret,Kenneth Lonergan,2011,3,Tina Hassannia,Freelance film critic,Canada,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Ten,Abbas Kiarostami,2002,4,Tina Hassannia,Freelance film critic,Canada,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
35 Shots of Rum,Claire Denis,2008,5,Tina Hassannia,Freelance film critic,Canada,/name/nm0219136/,"Paris, France","[48.8588897, 2.3200410217200766]"
Closed Curtain,Jafar Panahi,2013,6,Tina Hassannia,Freelance film critic,Canada,/name/nm0070159/,"Mianeh, Azarbaijan Province, Iran",
Tangerine,Sean Baker,2015,7,Tina Hassannia,Freelance film critic,Canada,/name/nm0048918/,"New York City, New York, USA","[40.7127281, -74.0060152]"
The Royal Tenenbaums,Wes Anderson,2001,8,Tina Hassannia,Freelance film critic,Canada,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Spring Breakers,Harmony Korine,2012,9,Tina Hassannia,Freelance film critic,Canada,/name/nm0005101/,"Bolinas, California, USA","[37.9093702, -122.6863733]"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Tina Hassannia,Freelance film critic,Canada,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
Notre musique,Jean-Luc Godard,2004,1,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0000419/,"Paris, France","[48.8588897, 2.3200410217200766]"
Triple Agent,Éric Rohmer,2004,2,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0006445/,"Tulle, Corrèze, France","[45.2678347, 1.7706797]"
The Assassin,Hou Hsiao-hsien,2015,3,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0396284/,"Meixian, Guangdong, China","[24.4146228, 116.2342558]"
Gran Torino,Clint Eastwood,2008,4,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0000142/,"San Francisco, California, USA","[37.7790262, -122.419906]"
Horse Money,Pedro Costa,2014,5,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0182276/,"Lisbon, Portugal","[38.7077507, -9.1365919]"
Fantastic Mr Fox,Wes Anderson,2012,6,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Holy Motors,Leos Carax,2012,7,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
Death Proof – Grindhouse,Quentin Tarantino,2007,8,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Déjà Vu,Tony Scott,2006,9,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0001716/,"North Shields, Northumberland, England, UK","[55.0103701, -1.4464145]"
Seventh Code,Kiyoshi Kurosawa,2013,10,Shiguehiko Hasumi,University of Tokyo,Japan,/name/nm0475905/,"Kobe, Japan","[34.6932379, 135.1943764]"
Waiting for Happiness,Abderrahmane Sissako,2002,1,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
The White Ribbon,Michael Haneke,2009,2,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Dreams of a Life,Carol Morley,2011,3,Katarina Hedrén,Freelance film critic,South Africa,/name/nm1345246/,"Stockport, Greater Manchester, England, UK","[53.407901, -2.160243]"
Tey,Alain Gomis,2012,4,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0327120/,"Paris, France","[48.8588897, 2.3200410217200766]"
The Gleaners and I,Agnès Varda,2000,5,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0889513/,"Ixelles, Belgium","[50.8331141, 4.3668279]"
Lumumba,Raoul Peck,2000,6,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0669704/,"Port-au-Prince, Haiti","[18.547327, -72.3395928]"
Hunger,Steve McQueen,2008,7,Katarina Hedrén,Freelance film critic,South Africa,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Fruitvale Station,Ryan Coogler,2013,8,Katarina Hedrén,Freelance film critic,South Africa,/name/nm3363032/,"Oakland, California, USA","[37.8044557, -122.2713563]"
"Eat, Sleep, Die",Gabriela Pichler,2012,9,Katarina Hedrén,Freelance film critic,South Africa,/name/nm3307527/,,"[46.3144754, 11.0480288]"
Middle of Nowhere,Ava DuVernay,2012,10,Katarina Hedrén,Freelance film critic,South Africa,/name/nm1148550/,"Long Beach, California, USA","[33.7690164, -118.191604]"
A Serious Man,Joel and Ethan Coen,2009,1,Jordan Hoffman,Freelance film critic,US,,,"[46.3144754, 11.0480288]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,2,Jordan Hoffman,Freelance film critic,US,,,"[46.3144754, 11.0480288]"
Star Trek,J. J. Abrams,2009,3,Jordan Hoffman,Freelance film critic,US,/name/nm0009190/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Waking Life,Richard Linklater,2001,4,Jordan Hoffman,Freelance film critic,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Ida,PaweÅ Pawlikowski,2013,5,Jordan Hoffman,Freelance film critic,US,/name/nm0667734/,"Warsaw, Mazowieckie, Poland","[52.2319581, 21.0067249]"
Enter the Void,Gaspar Noé,2009,6,Jordan Hoffman,Freelance film critic,US,/name/nm0637615/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
There Will Be Blood,Paul Thomas Anderson,2007,7,Jordan Hoffman,Freelance film critic,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Of Gods and Men,Xavier Beauvois,2010,8,Jordan Hoffman,Freelance film critic,US,/name/nm0064741/,"Auchel, Pas-de-Calais, France","[50.510698149999996, 2.4718469738727995]"
Into Great Silence,Philip Gröning,2005,9,Jordan Hoffman,Freelance film critic,US,/name/nm0344973/,"Düsseldorf, West Germany","[51.1327145, 6.4120798]"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Jordan Hoffman,Freelance film critic,US,/name/nm0153078/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
The Social Network,David Fincher,2010,1,Michael Hogan,Vanity Fair,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Boyhood,Richard Linklater,2014,2,Michael Hogan,Vanity Fair,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Descendants,Alexander Payne,2011,3,Michael Hogan,Vanity Fair,US,/name/nm0668247/,"Omaha, Nebraska, USA","[41.2587459, -95.9383758]"
Beasts of the Southern Wild,Benh Zeitlin,2012,4,Michael Hogan,Vanity Fair,US,/name/nm1022455/,"Manhattan, New York, USA","[40.7896239, -73.9598939]"
No Country For Old Men,Joel and Ethan Coen,2007,5,Michael Hogan,Vanity Fair,US,,,"[46.3144754, 11.0480288]"
Idiocracy,Mike Judge,2006,6,Michael Hogan,Vanity Fair,US,/name/nm0431918/,"Guayaquil, Ecuador","[-2.1900703, -79.8868702]"
Bridesmaids,Paul Feig,2011,7,Michael Hogan,Vanity Fair,US,/name/nm0082450/,"Mount Clemens, Michigan, USA","[42.5972563, -82.8779754]"
Spring Breakers,Harmony Korine,2012,8,Michael Hogan,Vanity Fair,US,/name/nm0005101/,"Bolinas, California, USA","[37.9093702, -122.6863733]"
American Psycho,Mary Harron,2000,9,Michael Hogan,Vanity Fair,US,/name/nm0366004/,"Bracebridge, Ontario, Canada","[45.041508, -79.310989]"
The Dark Knight,Christopher Nolan,2008,10,Michael Hogan,Vanity Fair,US,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Children of Men,Alfonso Cuarón,2006,1,Ann Hornaday,The Washington Post,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
There Will Be Blood,Paul Thomas Anderson,2007,2,Ann Hornaday,The Washington Post,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
The Hurt Locker,Kathryn Bigelow,2008,3,Ann Hornaday,The Washington Post,US,/name/nm0000941/,"San Carlos, California, USA","[37.504936, -122.261823]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Ann Hornaday,The Washington Post,US,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,5,Ann Hornaday,The Washington Post,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Boyhood,Richard Linklater,2014,6,Ann Hornaday,The Washington Post,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Lost in Translation,Sofia Coppola,2003,7,Ann Hornaday,The Washington Post,US,/name/nm0001068/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Michael Clayton,Tony Gilroy,2007,8,Ann Hornaday,The Washington Post,US,/name/nm0006904/,"Manhattan, New York City, New York, USA","[40.7896239, -73.9598939]"
You Can Count on Me Me,Kenneth Lonergan,2000,9,Ann Hornaday,The Washington Post,US,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,10,Ann Hornaday,The Washington Post,US,,,"[46.3144754, 11.0480288]"
Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,Gerhard Benedikt Friedl,2004,1,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0295068/,"Bad Aussee, Styria, Austria","[47.6094985, 13.7835784]"
The Master,Paul Thomas Anderson,2012,2,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Longing,Valeska Grisebach,2006,3,Alexander Horwath,Austrian Film Museum,Austria,/name/nm1007136/,"Bremen, Germany","[53.0758196, 8.8071646]"
I’m Not There,Todd Haynes,2007,4,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0001331/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
The External World,David O'Reilly,2010,5,Alexander Horwath,Austrian Film Museum,Austria,/name/nm2988528/,,"[46.3144754, 11.0480288]"
Secret Sunshine,Lee Chang-dong,2007,6,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0496969/,"Daegu, South Korea","[35.8713, 128.6018]"
Toni Erdmann,Maren Ade,2016,7,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany","[49.0068705, 8.4034195]"
Platform,Jia Zhangke,2000,8,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
The Holy Girl,Lucrecia Martel,2004,9,Alexander Horwath,Austrian Film Museum,Austria,/name/nm0551506/,"Salta, Argentina","[-25.1076701, -64.3494964]"
Mosaik mécanique,Norbert Pfaffenbichler,2008,10,Alexander Horwath,Austrian Film Museum,Austria,/name/nm1114961/,,"[46.3144754, 11.0480288]"
Boyhood,Richard Linklater,2014,1,Peter Howell,The Toronto Star,Canada,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Holy Motors,Leos Carax,2012,2,Peter Howell,The Toronto Star,Canada,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
The Tree of Life,Terrence Malick,2011,3,Peter Howell,The Toronto Star,Canada,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
In the Mood for Love,Wong Kar-wai,2000,4,Peter Howell,The Toronto Star,Canada,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,5,Peter Howell,The Toronto Star,Canada,,,"[46.3144754, 11.0480288]"
Certified Copy,Abbas Kiarostami,2010,6,Peter Howell,The Toronto Star,Canada,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
Memento,Christopher Nolan,2000,7,Peter Howell,The Toronto Star,Canada,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Y Tu Mamá También,Alfonso Cuarón,2001,8,Peter Howell,The Toronto Star,Canada,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Mulholland Drive,David Lynch,2001,9,Peter Howell,The Toronto Star,Canada,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
A History of Violence,David Cronenberg,2005,10,Peter Howell,The Toronto Star,Canada,/name/nm0000343/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
Good Night and Good Luck,George Clooney,2005,1,Annette Insdorf,Columbia University,US,/name/nm0000123/,"Lexington, Kentucky, USA","[38.0464066, -84.4970393]"
Hugo,Martin Scorsese,2011,2,Annette Insdorf,Columbia University,US,/name/nm0000217/,"Queens, New York City, New York, USA","[40.7135078, -73.8283132]"
Ida,PaweÅ Pawlikowski,2013,3,Annette Insdorf,Columbia University,US,/name/nm0667734/,"Warsaw, Mazowieckie, Poland","[52.2319581, 21.0067249]"
A Separation,Asghar Farhadi,2011,4,Annette Insdorf,Columbia University,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Amour,Michael Haneke,2012,5,Annette Insdorf,Columbia University,US,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
The Act of Killing,Joshua Oppenheimer,2012,6,Annette Insdorf,Columbia University,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
Quills,Philip Kaufman,2000,7,Annette Insdorf,Columbia University,US,/name/nm0442241/,"Chicago, Illinois, USA","[41.8755616, -87.6244212]"
The Sapphires,Wayne Blair,2012,8,Annette Insdorf,Columbia University,US,/name/nm0992370/,"Taree, New South Wales, Australia","[-31.912864, 152.4608481]"
Where Do We Go Now?,Nadine Labaki,2011,9,Annette Insdorf,Columbia University,US,/name/nm1701024/,"Beirut, Lebanon","[33.8959203, 35.47843]"
Ajami,Scandar Copti and Yaron Shani,2009,10,Annette Insdorf,Columbia University,US,,,"[46.3144754, 11.0480288]"
The Dark Knight,Christopher Nolan,2008,1,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Inception,Christopher Nolan,2010,2,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Hero,Zhang Yimou,2002,3,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0955443/,"Xi'an, Shaanxi, China","[34.220444, 109.11150598002203]"
Inglourious Basterds,Quentin Tarantino,2009,4,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
The Wolf of Wall Street,Martin Scorsese,2013,5,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0000217/,"Queens, New York City, New York, USA","[40.7135078, -73.8283132]"
Chakde! India,Shimit Amin,2007,6,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0024912/,,"[46.3144754, 11.0480288]"
In the Mood for Love,Wong Kar-wai,2000,7,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
No Country For Old Men,Joel and Ethan Coen,2007,8,Aysha Iqbal,Indian Institute of Technology,India,,,"[46.3144754, 11.0480288]"
Maqbool,Vishal Bhardwaj,2003,9,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0080235/,,"[46.3144754, 11.0480288]"
The Lives of Others,Florian Henckel von Donnersmarck,2006,10,Aysha Iqbal,Indian Institute of Technology,India,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany","[50.938361, 6.959974]"
The Pianist,Roman Polanski,2002,1,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000591/,"Paris, France","[48.8588897, 2.3200410217200766]"
Only Lovers Left Alive,Jim Jarmusch,2013,2,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000464/,"Akron, Ohio, USA","[41.083064, -81.518485]"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,3,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
Leviathan,Andrey Zvyagintsev,2014,4,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
Amélie,Jean-Pierre Jeunet,2001,5,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000466/,"Roanne, Loire, Rhône-Alpes, France","[46.0345572, 4.0729178]"
Avatar,James Cameron,2009,6,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000116/,"Kapuskasing, Ontario, Canada","[49.416667, -82.433333]"
The Tree of Life,Terrence Malick,2011,7,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,8,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden","[57.7072326, 11.9670171]"
Boyhood,Richard Linklater,2014,9,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Coming Home,Zhang Yimou,2014,10,Zhanna Issabayeva,Freelance film critic,Kazakhstan,/name/nm0955443/,"Xi'an, Shaanxi, China","[34.220444, 109.11150598002203]"
The Act of Killing,Joshua Oppenheimer,2012,1,Larushka Ivan-Zadeh,Metro,UK,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
Caché,Michael Haneke,2005,2,Larushka Ivan-Zadeh,Metro,UK,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
